이름,지역,클래스,카테고리,세부분류
CGV,경상북도,장소,문화시설,CGV
CGV,경상남도,장소,문화시설,CGV
메가박스,충청북도,장소,문화시설,메가박스
제물포극장,인천광역시,장소,문화시설,일반극장/영화관
국도복합영화관,전라북도,장소,문화시설,일반극장/영화관
예당시네마,경상북도,장소,문화시설,일반극장/영화관
안동극장,경상북도,장소,문화시설,일반극장/영화관
가고파극장,대구광역시,장소,문화시설,일반극장/영화관
아카데미극장,강원도,장소,문화시설,일반극장/영화관
선사시네마,대전광역시,장소,문화시설,일반극장/영화관
석계극장,서울특별시,장소,문화시설,일반극장/영화관
옥포극장,경상남도,장소,문화시설,일반극장/영화관
아리랑시네센터,서울특별시,장소,문화시설,일반극장/영화관
동보극장,부산광역시,장소,문화시설,일반극장/영화관
다모아극장,대전광역시,장소,문화시설,일반극장/영화관
명성극장,경상북도,장소,문화시설,일반극장/영화관
명보극장,충청남도,장소,문화시설,일반극장/영화관
경동극장,경상남도,장소,문화시설,일반극장/영화관
시네마월드,전라남도,장소,문화시설,일반극장/영화관
세종극장,경기도,장소,문화시설,일반극장/영화관
낙원극장,서울특별시,장소,문화시설,일반극장/영화관
귀빈극장,경상북도,장소,문화시설,일반극장/영화관
대백예술극장,대구광역시,장소,문화시설,일반극장/영화관
국도극장,경기도,장소,문화시설,일반극장/영화관
바다극장,서울특별시,장소,문화시설,일반극장/영화관
밀양시네마,경상남도,장소,문화시설,일반극장/영화관
문화극장,경기도,장소,문화시설,일반극장/영화관
동화극장,대전광역시,장소,문화시설,일반극장/영화관
동원극장,충청남도,장소,문화시설,일반극장/영화관
동성아트홀,대구광역시,장소,문화시설,일반극장/영화관
창원시네마,경상남도,장소,문화시설,일반극장/영화관
중앙극장,경기도,장소,문화시설,일반극장/영화관
중앙극장,경상남도,장소,문화시설,일반극장/영화관
중앙극장,충청북도,장소,문화시설,일반극장/영화관
피카디리극장,부산광역시,장소,문화시설,일반극장/영화관
CGV,서울특별시,장소,문화시설,CGV
탐라극장,제주특별자치도,장소,문화시설,일반극장/영화관
롯데시네마,서울특별시,장소,문화시설,롯데시네마
CGV,경상남도,장소,문화시설,CGV
메가박스,경기도,장소,문화시설,메가박스
구미자동차극장,경상북도,장소,문화시설,자동차전용극장
롯데시네마,대구광역시,장소,문화시설,롯데시네마
CGV,서울특별시,장소,문화시설,CGV
CGV,서울특별시,장소,문화시설,CGV
메카DVD앤VIDEO,서울특별시,장소,문화시설,비디오/DVD감상실
CGV,부산광역시,장소,문화시설,CGV
영화속으로,서울특별시,장소,문화시설,비디오/DVD감상실
롯데시네마,부산광역시,장소,문화시설,롯데시네마
롯데시네마,충청북도,장소,문화시설,롯데시네마
CGV,경기도,장소,문화시설,CGV
CGV,서울특별시,장소,문화시설,CGV
CGV,강원도,장소,문화시설,CGV
메가박스,강원도,장소,문화시설,메가박스
CGV,서울특별시,장소,문화시설,CGV
떼아뜨로중구,대구광역시,장소,문화시설,일반극장/영화관
롯데시네마,서울특별시,장소,문화시설,롯데시네마
KT&G상상마당시네마,서울특별시,장소,문화시설,일반극장/영화관
시네마테크KOFA,서울특별시,장소,문화시설,일반극장/영화관
아트하우스모모,서울특별시,장소,문화시설,일반극장/영화관
필름포럼,서울특별시,장소,문화시설,일반극장/영화관
