이름,지역,클래스,카테고리,세부분류
영화스캔들촬영지,전라남도,장소,관광지,드라마/영화촬영지
청풍명월촬영지,경상남도,장소,관광지,드라마/영화촬영지
합천영상테마파크,경상남도,장소,관광지,드라마/영화촬영지
JSA촬영지,충청남도,장소,관광지,드라마/영화촬영지
원정리,대전광역시,장소,관광지,드라마/영화촬영지
은행나무침대촬영지,경상남도,장소,관광지,드라마/영화촬영지
전라좌수영,전라북도,장소,관광지,드라마/영화촬영지
허준촬영지,전라남도,장소,관광지,드라마/영화촬영지
대장금촬영지,전라북도,장소,관광지,드라마/영화촬영지
동승촬영지,경상북도,장소,관광지,드라마/영화촬영지
폭풍속으로촬영지,경상북도,장소,관광지,드라마/영화촬영지
러브레터촬영지,강원도,장소,관광지,드라마/영화촬영지
러빙유촬영지,제주특별자치도,장소,관광지,드라마/영화촬영지
로망스촬영지,경상남도,장소,관광지,드라마/영화촬영지
명성황후촬영지,서울특별시,장소,관광지,드라마/영화촬영지
모래시계촬영지,강원도,장소,관광지,드라마/영화촬영지
봄날은간다촬영지,강원도,장소,관광지,드라마/영화촬영지
봄날은간다촬영지,강원도,장소,관광지,드라마/영화촬영지
부산영화촬영스튜디오,부산광역시,장소,관광지,드라마/영화촬영지
SBS제천촬영장,충청북도,장소,관광지,드라마/영화촬영지
가문의영광촬영지,전라남도,장소,관광지,드라마/영화촬영지
겨울연가촬영지,강원도,장소,관광지,드라마/영화촬영지
겨울연가촬영지,서울특별시,장소,관광지,드라마/영화촬영지
그대그리고나촬영지,경상북도,장소,관광지,드라마/영화촬영지
불새드라마촬영지,제주특별자치도,장소,관광지,드라마/영화촬영지
나주영상테마파크,전라남도,장소,관광지,드라마/영화촬영지
서동요테마파크,충청남도,장소,관광지,드라마/영화촬영지
서동요촬영지,전라북도,장소,관광지,드라마/영화촬영지
남양주종합촬영소,경기도,장소,관광지,드라마/영화촬영지
서편제촬영지,전라남도,장소,관광지,드라마/영화촬영지
석불산영상랜드,전라북도,장소,관광지,드라마/영화촬영지
선물촬영지,전라남도,장소,관광지,드라마/영화촬영지
스캔들촬영지,전라남도,장소,관광지,드라마/영화촬영지
슬픈연가세트장,인천광역시,장소,관광지,드라마/영화촬영지
시월애촬영지,인천광역시,장소,관광지,드라마/영화촬영지
용인대장금파크,경기도,장소,관광지,드라마/영화촬영지
신라의달밤촬영지,경상북도,장소,관광지,드라마/영화촬영지
아름다운시절촬영지,경상남도,장소,관광지,드라마/영화촬영지
아트서비스A동,경기도,장소,관광지,드라마/영화촬영지
아트서비스B동,경기도,장소,관광지,드라마/영화촬영지
아트하우스촬영소,경기도,장소,관광지,드라마/영화촬영지
어린왕자촬영지,전라남도,장소,관광지,드라마/영화촬영지
여름향기촬영지,강원도,장소,관광지,드라마/영화촬영지
대장금촬영지,충청남도,장소,관광지,드라마/영화촬영지
대장금촬영지,전라남도,장소,관광지,드라마/영화촬영지
네멋대로해라촬영지,경상북도,장소,관광지,드라마/영화촬영지
번지점프를하다촬영지,충청남도,장소,관광지,드라마/영화촬영지
불멸의이순신촬영지,전라북도,장소,관광지,드라마/영화촬영지
상도촬영지,전라남도,장소,관광지,드라마/영화촬영지
서동요세트장,전라북도,장소,관광지,드라마/영화촬영지
순수의시대촬영지,경상남도,장소,관광지,드라마/영화촬영지
가을로촬영지,전라남도,장소,관광지,드라마/영화촬영지
온달세트장,충청북도,장소,관광지,드라마/영화촬영지
YMCA야구단촬영지,전라북도,장소,관광지,드라마/영화촬영지
순천드라마촬영장,전라남도,장소,관광지,드라마/영화촬영지
실미도촬영지,인천광역시,장소,관광지,드라마/영화촬영지
여름향기촬영지,전라남도,장소,관광지,드라마/영화촬영지
연풍연가촬영지,제주특별자치도,장소,관광지,드라마/영화촬영지
엽기적인그녀촬영지,부산광역시,장소,관광지,드라마/영화촬영지
괴물촬영지,서울특별시,장소,관광지,드라마/영화촬영지
봄여름가을겨울그리고봄촬영지,경상북도,장소,관광지,드라마/영화촬영지
올인촬영지,제주특별자치도,장소,관광지,드라마/영화촬영지
올인하우스,제주특별자치도,장소,관광지,드라마/영화촬영지
용의눈물촬영지,충청남도,장소,관광지,드라마/영화촬영지
이제수의난촬영지,제주특별자치도,장소,관광지,드라마/영화촬영지
장길산촬영지,충청남도,장소,관광지,드라마/영화촬영지
주몽촬영장,전라남도,장소,관광지,드라마/영화촬영지
천국의계단촬영지,서울특별시,장소,관광지,드라마/영화촬영지
천년학촬영지,전라남도,장소,관광지,드라마/영화촬영지
청춘촬영지,경상남도,장소,관광지,드라마/영화촬영지
최참판댁,경상남도,장소,관광지,드라마/영화촬영지
춘향뎐촬영지,전라북도,장소,관광지,드라마/영화촬영지
취화선촬영지,전라남도,장소,관광지,드라마/영화촬영지
친구촬영지,부산광역시,장소,관광지,드라마/영화촬영지
클래식촬영지,대전광역시,장소,관광지,드라마/영화촬영지
태양의남쪽촬영지,강원도,장소,관광지,드라마/영화촬영지
태조왕건촬영지,충청북도,장소,관광지,드라마/영화촬영지
대왕세종촬영지,경상북도,장소,관광지,드라마/영화촬영지
파이란촬영지,강원도,장소,관광지,드라마/영화촬영지
편지촬영지,경기도,장소,관광지,드라마/영화촬영지
폭풍속으로세트장,경상북도,장소,관광지,드라마/영화촬영지
풀하우스촬영지,인천광역시,장소,관광지,드라마/영화촬영지
하늘정원촬영지,경상남도,장소,관광지,드라마/영화촬영지
해신촬영지,전라남도,장소,관광지,드라마/영화촬영지
