이름,지역,클래스,카테고리,세부분류
클레이아크김해미술관,경상남도,장소,문화시설,대형미술관
난계국악기제작촌,충청북도,장소,문화시설,기타전시/박물관
표갤러리,서울특별시,장소,문화시설,소형갤러리
클라운마임,인천광역시,장소,문화시설,공연/연극/문화센터
이천호국원,경기도,장소,문화시설,대형기념관/묘역
강북문화예술회관,서울특별시,장소,문화시설,대형예술센터
갤러리S.P,서울특별시,장소,문화시설,소형갤러리
강남구민회관,서울특별시,장소,문화시설,구민/시민회관
평사리문학관,경상남도,장소,문화시설,기타전시/박물관
춘천인형극박물관,강원도,장소,문화시설,기타전시/박물관
청주불교사전시장,충청북도,장소,문화시설,기타전시/박물관
진해해양공원해양생물테마파크,경상남도,장소,문화시설,기타전시/박물관
석부작박물관,제주특별자치도,장소,문화시설,기타전시/박물관
아트선재센터,서울특별시,장소,문화시설,기타전시/박물관
통도사성보박물관,경상남도,장소,문화시설,기타전시/박물관
아트서울,서울특별시,장소,문화시설,기타전시/박물관
선암사성보박물관,전라남도,장소,문화시설,기타전시/박물관
한국잡지박물관,서울특별시,장소,문화시설,기타전시/박물관
공주대학교공주캠퍼스박물관,충청남도,장소,문화시설,기타전시/박물관
민속극박물관,충청남도,장소,문화시설,기타전시/박물관
교과서박물관,세종특별자치시,장소,문화시설,기타전시/박물관
복권박물관,충청남도,장소,문화시설,기타전시/박물관
공군사관학교박물관,충청북도,장소,문화시설,기타전시/박물관
교육자료박물관,충청북도,장소,문화시설,기타전시/박물관
리쿼리움,충청북도,장소,문화시설,기타전시/박물관
예뿌리박물관,충청북도,장소,문화시설,기타전시/박물관
지적박물관,충청북도,장소,문화시설,기타전시/박물관
고성자연사박물관,경상남도,장소,문화시설,기타전시/박물관
온양민속박물관,충청남도,장소,문화시설,대형전시/박물관
태영박물관,충청남도,장소,문화시설,기타전시/박물관
고건축박물관,충청남도,장소,문화시설,기타전시/박물관
철박물관,충청북도,장소,문화시설,기타전시/박물관
청주교육대학교박물관,충청북도,장소,문화시설,기타전시/박물관
청주대학교박물관,충청북도,장소,문화시설,기타전시/박물관
옹기박물관,충청북도,장소,문화시설,기타전시/박물관
한국교통대학교충주캠퍼스박물관,충청북도,장소,문화시설,기타전시/박물관
충청대학교박물관,충청북도,장소,문화시설,기타전시/박물관
한국공예관,충청북도,장소,문화시설,기타전시/박물관
한독의약박물관,충청북도,장소,문화시설,기타전시/박물관
마늘전시관,경상남도,장소,문화시설,기타전시/박물관
하회세계탈박물관,경상북도,장소,문화시설,기타전시/박물관
쌈지스페이스,서울특별시,장소,문화시설,기타전시/박물관
신문박물관,서울특별시,장소,문화시설,기타전시/박물관
아트센터나비,서울특별시,장소,문화시설,기타전시/박물관
원앤제이갤러리,서울특별시,장소,문화시설,소형갤러리
예술의전당서예박물관,서울특별시,장소,문화시설,기타전시/박물관
한상수박물관,서울특별시,장소,문화시설,기타전시/박물관
은행사박물관,서울특별시,장소,문화시설,기타전시/박물관
원화랑,서울특별시,장소,문화시설,기타전시/박물관
유나화랑,서울특별시,장소,문화시설,기타전시/박물관
옹기박물관,서울특별시,장소,문화시설,기타전시/박물관
축구전시관,서울특별시,장소,문화시설,기타전시/박물관
티벳박물관,서울특별시,장소,문화시설,기타전시/박물관
성서유물박물관,서울특별시,장소,문화시설,기타전시/박물관
학고재,서울특별시,장소,문화시설,소형갤러리
한국가구박물관,서울특별시,장소,문화시설,기타전시/박물관
한국자수박물관,서울특별시,장소,문화시설,기타전시/박물관
호림박물관,서울특별시,장소,문화시설,기타전시/박물관
화정박물관,서울특별시,장소,문화시설,기타전시/박물관
현대예술관,울산광역시,장소,문화시설,기타전시/박물관
거제어촌민속전시관,경상남도,장소,문화시설,기타전시/박물관
무애원박물관,인천광역시,장소,문화시설,기타전시/박물관
인천어린이박물관,인천광역시,장소,문화시설,기타전시/박물관
인하대학교박물관,인천광역시,장소,문화시설,기타전시/박물관
함평생활유물전시관,전라남도,장소,문화시설,기타전시/박물관
목포달성공원난전시관,전라남도,장소,문화시설,기타전시/박물관
티벳박물관,전라남도,장소,문화시설,기타전시/박물관
동신대학교문화박물관,전라남도,장소,문화시설,기타전시/박물관
북한반잠수정전시관,전라남도,장소,문화시설,기타전시/박물관
어촌전시관,전라남도,장소,문화시설,기타전시/박물관
홍보전시관,전라남도,장소,문화시설,기타전시/박물관
군산시민문화회관,전라북도,장소,문화시설,공연/연극/문화센터
동진수리박물관,전라북도,장소,문화시설,기타전시/박물관
원광대학교박물관,전라북도,장소,문화시설,기타전시/박물관
전북대학교자연사박물관,전라북도,장소,문화시설,기타전시/박물관
거제박물관,경상남도,장소,문화시설,기타전시/박물관
서복전시관,제주특별자치도,장소,문화시설,기타전시/박물관
소리섬박물관,제주특별자치도,장소,문화시설,기타전시/박물관
신영영화박물관,제주특별자치도,장소,문화시설,기타전시/박물관
아프리카박물관,제주특별자치도,장소,문화시설,기타전시/박물관
제주민속촌,제주특별자치도,장소,문화시설,대형전시/박물관
초콜릿박물관,제주특별자치도,장소,문화시설,기타전시/박물관
전쟁역사평화박물관,제주특별자치도,장소,문화시설,기타전시/박물관
하멜전시관,제주특별자치도,장소,문화시설,기타전시/박물관
진아트갤러리,서울특별시,장소,문화시설,기타전시/박물관
서울시립대학교박물관,서울특별시,장소,문화시설,기타전시/박물관
디자인박물관,서울특별시,장소,문화시설,기타전시/박물관
백송화랑,서울특별시,장소,문화시설,기타전시/박물관
박여숙화랑,서울특별시,장소,문화시설,기타전시/박물관
덕성여자대학교박물관,서울특별시,장소,문화시설,기타전시/박물관
롯데월드민속박물관,서울특별시,장소,문화시설,기타전시/박물관
떡부엌살림박물관,서울특별시,장소,문화시설,기타전시/박물관
무형문화재회관,서울특별시,장소,문화시설,기타전시/박물관
대한민국예술원,서울특별시,장소,문화시설,기타전시/박물관
가람화랑,서울특별시,장소,문화시설,기타전시/박물관
공항화랑,광주광역시,장소,문화시설,기타전시/박물관
신재생에너지전시관,강원도,장소,문화시설,기타전시/박물관
춘천교육대학교박물관,강원도,장소,문화시설,기타전시/박물관
스페이스C,서울특별시,장소,문화시설,기타전시/박물관
한국등잔박물관,경기도,장소,문화시설,기타전시/박물관
한국해양대학교박물관,부산광역시,장소,문화시설,기타전시/박물관
프랑스문화원,부산광역시,장소,문화시설,기타전시/박물관
조현화랑,부산광역시,장소,문화시설,기타전시/박물관
만해문학박물관,강원도,장소,문화시설,기타전시/박물관
무릉고서화미술박물관,강원도,장소,문화시설,기타전시/박물관
쌈지길,서울특별시,장소,문화시설,기타전시/박물관
마사박물관,경기도,장소,문화시설,기타전시/박물관
신세계상업사박물관,경기도,장소,문화시설,기타전시/박물관
