이름,지역,클래스,카테고리,세부분류
중명전,서울특별시,장소,관광지,유명사적/유적지
마애여래좌상,경상북도,장소,관광지,국보
해신당,경상북도,장소,관광지,천연기념물
팔각정,서울특별시,장소,관광지,천연기념물
황강서원,전라북도,장소,관광지,유명사적/유적지
대한성공회강화성당,인천광역시,장소,관광지,유명사적/유적지
복신미륵,제주특별자치도,장소,관광지,유명사적/유적지
천진암,전라남도,장소,관광지,암자
마애여래좌상,경기도,장소,관광지,유명사적/유적지
백마고지위령비,강원도,장소,관광지,비/탑/문/각
충렬서원,경기도,장소,관광지,유명사적/유적지
남구만선생묘,경기도,장소,관광지,유명사적/유적지
모현지석묘,경기도,장소,관광지,유명사적/유적지
무주향교,전라북도,장소,관광지,유명사적/유적지
약수봉,강원도,장소,관광지,봉우리/고지
가칠봉,강원도,장소,관광지,봉우리/고지
강릉객사,강원도,장소,관광지,유명사적/유적지
간월사지,울산광역시,장소,관광지,유명사적/유적지
상달암,경상북도,장소,관광지,암자
옥녀봉,광주광역시,장소,관광지,봉우리/고지
백련암,전라북도,장소,관광지,암자
금강암,경상북도,장소,관광지,암자
광룡사,경상북도,장소,관광지,암자
포은정몽주유허비,경상북도,장소,관광지,비/탑/문/각
안동문화답사촌,경상북도,장소,관광지,고택/생가/민속마을
어재연장군생가,경기도,장소,관광지,고택/생가/민속마을
감로루,경상북도,장소,관광지,비/탑/문/각
지장암,강원도,장소,관광지,암자
구룡암,울산광역시,장소,관광지,암자
덕혜암,경기도,장소,관광지,암자
남해충렬사,경상남도,장소,관광지,유명사적/유적지
관수암,전라북도,장소,관광지,암자
봉황각,서울특별시,장소,관광지,비/탑/문/각
문학대,전라북도,장소,관광지,유명사적/유적지
이항로생가,경기도,장소,관광지,고택/생가/민속마을
남한산성,경기도,장소,관광지,성/성터
한숨바우,강원도,장소,관광지,바위
마패봉,충청북도,장소,관광지,봉우리/고지
봉정암석가사리탑,강원도,장소,관광지,비/탑/문/각
수리봉,충청북도,장소,관광지,봉우리/고지
오세암,강원도,장소,관광지,암자
옥양봉,충청남도,장소,관광지,봉우리/고지
제비봉,충청북도,장소,관광지,봉우리/고지
흔들바위,강원도,장소,관광지,바위
순직선원위령탑,부산광역시,장소,관광지,비/탑/문/각
지장암,부산광역시,장소,관광지,암자
덕수궁,서울특별시,장소,관광지,궁궐/종묘
신리성지,충청남도,장소,관광지,유명사적/유적지
신숭겸장군유적지,대구광역시,장소,관광지,유명사적/유적지
목포근대역사관,전라남도,장소,관광지,유명사적/유적지
반기문생가터,충청북도,장소,관광지,고택/생가/민속마을
한봉수의병장유적지,충청북도,장소,관광지,유명사적/유적지
화랑무예태권도성지,충청북도,장소,관광지,유명사적/유적지
삼방리3층석탑,충청북도,장소,관광지,비/탑/문/각
삼방리마애불,충청북도,장소,관광지,비/탑/문/각
임란의병한천전승첩탑,경상북도,장소,관광지,비/탑/문/각
하원동탐라왕자묘,제주특별자치도,장소,관광지,왕릉/고분
충무공이수일신도비,충청북도,장소,관광지,비/탑/문/각
대한봉,경상북도,장소,관광지,봉우리/고지
군함바위,경상북도,장소,관광지,바위
넙덕바위,경상북도,장소,관광지,바위
코끼리바위,경상북도,장소,관광지,바위
가제굴,경상북도,장소,관광지,동굴
탕건봉,경상북도,장소,관광지,봉우리/고지
김바위,경상북도,장소,관광지,바위
미역바위,경상북도,장소,관광지,바위
촛대바위,경상북도,장소,관광지,바위
삼형제굴바위,경상북도,장소,관광지,바위
닭바위,경상북도,장소,관광지,바위
우산봉,경상북도,장소,관광지,봉우리/고지
천장굴,경상북도,장소,관광지,동굴
독립문바위,경상북도,장소,관광지,바위
물오리바위,경상북도,장소,관광지,바위
독도영토표석,경상북도,장소,관광지,비/탑/문/각
숫돌바위,경상북도,장소,관광지,바위
부채바위,경상북도,장소,관광지,바위
해녀바위,경상북도,장소,관광지,바위
춧발바위,경상북도,장소,관광지,바위
전차바위,경상북도,장소,관광지,바위
성화대,경상북도,장소,관광지,유명사적/유적지
얼굴바위,경상북도,장소,관광지,바위
김두한가옥,강원도,장소,관광지,고택/생가/민속마을
최항선생묘,경기도,장소,관광지,유명사적/유적지
나주동점문,전라남도,장소,관광지,비/탑/문/각
진해루,경상남도,장소,관광지,유명사적/유적지
화엄사각황전앞석등,전라남도,장소,관광지,국보
영산전,경상북도,장소,관광지,국보
극락전,경상북도,장소,관광지,암자
무열왕릉비,경상북도,장소,관광지,국보
분황사석탑,경상북도,장소,관광지,국보
술정리동삼층석탑,경상남도,장소,관광지,국보
상원사동종,강원도,장소,관광지,국보
삼층석탑및석등,전라남도,장소,관광지,국보
진감선사대공탑비,경상남도,장소,관광지,국보
대웅전,충청남도,장소,관광지,국보
장곡사여래좌상,충청남도,장소,관광지,국보
철조비로자나불좌상,전라남도,장소,관광지,국보
오층석탑,경상북도,장소,관광지,국보
모전오층석탑,경상북도,장소,관광지,국보
천마총금관,경상북도,장소,관광지,국보
대웅전,경상남도,장소,관광지,국보
마애여래좌상,전라남도,장소,관광지,국보
탑골공원원각사지10층석탑,서울특별시,장소,관광지,국보
성주사지백월보광탑비,충청남도,장소,관광지,국보
부석사무량수전앞석등,경상북도,장소,관광지,국보
쌍봉사철감선사탑,전라남도,장소,관광지,국보
미륵전,전라북도,장소,관광지,암자
군위삼존석굴,경상북도,장소,관광지,국보
마애여래좌상,전라남도,장소,관광지,국보
정혜원륭탑,충청북도,장소,관광지,국보
불국사석조,경상북도,장소,관광지,보물
금골산오층석탑,전라남도,장소,관광지,보물
법당,인천광역시,장소,관광지,보물
대웅전,전라남도,장소,관광지,보물
도솔암마애불,전라북도,장소,관광지,보물
오층석탑,제주특별자치도,장소,관광지,보물
선운사대웅전,전라북도,장소,관광지,보물
고려동종,전라북도,장소,관광지,보물
내소사대웅보전,전라북도,장소,관광지,보물
도갑사오층석탑,전라남도,장소,관광지,보물
신경리마애석불,충청남도,장소,관광지,보물
용암사지삼층석탑,전라남도,장소,관광지,보물
성풍사지오층석탑,전라남도,장소,관광지,보물
나주향교대성전,전라남도,장소,관광지,보물
나주북문외삼층석탑,전라남도,장소,관광지,보물
사적비,전라남도,장소,관광지,보물
장명등,경기도,장소,관광지,보물
철천리칠불석상,전라남도,장소,관광지,보물
보화리석불입상,전라북도,장소,관광지,보물
은선리삼층석탑,전라북도,장소,관광지,보물
철보살좌상,충청남도,장소,관광지,보물
대웅전,전라남도,장소,관광지,보물
보림사서부도,전라남도,장소,관광지,보물
백양사소요대사부도,전라남도,장소,관광지,보물
용미리석불입상,경기도,장소,관광지,보물
서오층석탑,광주광역시,장소,관광지,보물
중초사지당간지주,경기도,장소,관광지,보물
인조별서유기비,서울특별시,장소,관광지,보물
피향정,전라북도,장소,관광지,보물
장하리삼층석탑,충청남도,장소,관광지,보물
단정문,서울특별시,장소,관광지,보물
마곡사오층석탑,충청남도,장소,관광지,보물
읍내리당간지주,충청남도,장소,관광지,보물
동관왕묘,서울특별시,장소,관광지,보물
혜덕왕사진응탑비,전라북도,장소,관광지,보물
천원삼대리마애불,충청남도,장소,관광지,보물
철조여래좌상,경기도,장소,관광지,보물
봉천리오층석탑,전라남도,장소,관광지,보물
가곡리오층석탑,전라남도,장소,관광지,보물
용암리석등,전라북도,장소,관광지,보물
대종,경기도,장소,관광지,보물
대웅전,충청남도,장소,관광지,보물
유신리마애여래좌상,전라남도,장소,관광지,보물
개태사지석불입상,충청남도,장소,관광지,보물
송광사대웅전,전라북도,장소,관광지,보물
송광사종루,전라북도,장소,관광지,보물
우화루,전라북도,장소,관광지,보물
안심사계단,전라북도,장소,관광지,보물
석남사영산전,경기도,장소,관광지,보물
선암사대웅전,전라남도,장소,관광지,보물
연곡리석비,충청북도,장소,관광지,보물
만복사지오층석탑,전라북도,장소,관광지,보물
동화사삼층석탑,전라남도,장소,관광지,보물
철조여래좌상,전라북도,장소,관광지,보물
대웅전,전라남도,장소,관광지,보물
대웅전,충청북도,장소,관광지,보물
용화사석불상군,충청북도,장소,관광지,보물
대웅전,전라남도,장소,관광지,보물
계산리오층석탑,충청북도,장소,관광지,보물
정지국사부도및비,경기도,장소,관광지,보물
영국사부도,충청북도,장소,관광지,보물
영국사삼층석탑,충청북도,장소,관광지,보물
원각국사비,충청북도,장소,관광지,보물
망탑봉삼층석탑,충청북도,장소,관광지,보물
보안사삼층석탑,충청북도,장소,관광지,보물
대웅전,전라남도,장소,관광지,보물
홍교,전라남도,장소,관광지,보물
좌수영대첩비,전라남도,장소,관광지,보물
마애삼존불상,경상남도,장소,관광지,보물
승안사지삼층석탑,경상남도,장소,관광지,보물
청평사회전문,강원도,장소,관광지,보물
삼존불입상,충청북도,장소,관광지,보물
봉황리마애불상군,충청북도,장소,관광지,보물
철불좌상,충청북도,장소,관광지,보물
상오리칠층석탑,경상북도,장소,관광지,보물
반야사삼층석탑,충청북도,장소,관광지,보물
대지국사비,충청북도,장소,관광지,보물
통일대사부도,충청북도,장소,관광지,보물
충주철불좌상,충청북도,장소,관광지,보물
석조여래입상,경상남도,장소,관광지,보물
효자리삼층석탑,경상남도,장소,관광지,보물
대웅전,경상남도,장소,관광지,보물
약광전석불좌상,경상북도,장소,관광지,보물
쌍사자석등,경상남도,장소,관광지,보물
석조약사여래좌상,경상북도,장소,관광지,보물
지증대사적조탑,경상북도,장소,관광지,보물
사천매향비,경상남도,장소,관광지,보물
원풍리마애불좌상,충청북도,장소,관광지,보물
법경대사자등탑비,충청북도,장소,관광지,보물
사자빈신사지석탑,충청북도,장소,관광지,보물
단성석조여래좌상,경상남도,장소,관광지,보물
사명대사부도,경상남도,장소,관광지,보물
덕주사마애불,충청북도,장소,관광지,보물
