이름,지역,클래스,카테고리,국공립/시립,비용,연방문인원
국립중앙박물관,서울특별시,문화시설,박물관,국립,,3354161.0
국립민속박물관,서울특별시,문화시설,박물관,국립,무료,2286276.0
대한민국역사박물관,서울특별시,문화시설,박물관,국립,무료,1058886.0
국립한글박물관,서울특별시,문화시설,박물관,국립,무료,776570.0
국립국악원 국악박물관,서울특별시,문화시설,박물관,국립,무료,41218.0
국립극장 공연예술박물관,서울특별시,문화시설,박물관,국립,무료,8373.0
한국영화박물관,서울특별시,문화시설,박물관,국립,무료,78337.0
국립고궁박물관,서울특별시,문화시설,박물관,국립,1000,1118081.0
석조전 대한제국역사관,서울특별시,문화시설,박물관,국립,무료,2413596.0
육군박물관,서울특별시,문화시설,박물관,국립,,63800.0
국토발전전시관,서울특별시,문화시설,박물관,국립,무료,83847.0
국립경찰박물관,서울특별시,문화시설,박물관,국립,,302008.0
국립관세박물관,서울특별시,문화시설,박물관,국립,,3186.0
국회 헌정기념관,서울특별시,문화시설,박물관,국립,,280698.0
둘리뮤지엄,서울특별시,문화시설,박물관,공립,,75160.0
서대문자연사박물관,서울특별시,문화시설,박물관,공립,,289031.0
서대문형무소역사관,서울특별시,문화시설,박물관,공립,,1014559.0
서울교육박물관,서울특별시,문화시설,박물관,공립,,129712.0
서울상상나라,서울특별시,문화시설,박물관,공립,,499367.0
서울약령시한의약박물관,서울특별시,문화시설,박물관,공립,,76985.0
서울역사박물관,서울특별시,문화시설,박물관,공립,무료,1058981.0
성북선잠박물관,서울특별시,문화시설,박물관,공립,무료,12000.0
손기정기념관,서울특별시,문화시설,박물관,공립,무료,11869.0
수도박물관,서울특별시,문화시설,박물관,공립,무료,143935.0
암사동선사유적박물관,서울특별시,문화시설,박물관,공립,,120358.0
은평역사한옥박물관,서울특별시,문화시설,박물관,공립,무료,73763.0
청계천박물관,서울특별시,문화시설,박물관,공립,,175697.0
한성백제박물관,서울특별시,문화시설,박물관,공립,,788010.0
허준박물관,서울특별시,문화시설,박물관,공립,,72888.0
송파책박물관,서울특별시,문화시설,박물관,공립,,196588.0
서울우리소리박물관,서울특별시,문화시설,박물관,공립,,8890.0
가회민화박물관,서울특별시,문화시설,박물관,사립,,14299.0
경기여자고등학교 경운박물관,서울특별시,문화시설,박물관,사립,,5000.0
고촌이종근기념관,서울특별시,문화시설,박물관,사립,,3250.0
관문사 성보박물관,서울특별시,문화시설,박물관,사립,,2000.0
그레뱅뮤지엄,서울특별시,문화시설,박물관,사립,,72270.0
기생충박물관,서울특별시,문화시설,박물관,사립,무료,15000.0
김달진미술자료박물관,서울특별시,문화시설,박물관,사립,,2400.0
농협 농업박물관,서울특별시,문화시설,박물관,사립,,261308.0
도산안창호기념관,서울특별시,문화시설,박물관,사립,,58879.0
떡박물관,서울특별시,문화시설,박물관,사립,,24904.0
롯데월드민속박물관,서울특별시,문화시설,박물관,사립,,240000.0
명인박물관,서울특별시,문화시설,박물관,사립,,600.0
목인박물관 목석원,서울특별시,문화시설,박물관,사립,,1767.0
뮤지엄김치간,서울특별시,문화시설,박물관,사립,무료,36389.0
박을복자수박물관,서울특별시,문화시설,박물관,사립,,800.0
배재학당역사박물관,서울특별시,문화시설,박물관,사립,무료,105780.0
백범김구기념관,서울특별시,문화시설,박물관,사립,무료,198196.0
보나장신구박물관,서울특별시,문화시설,박물관,사립,,100.0
북촌동양문화박물관,서울특별시,문화시설,박물관,사립,,19006.0
북촌박물관,서울특별시,문화시설,박물관,사립,,5500.0
북촌생활사박물관,서울특별시,문화시설,박물관,사립,,6155.0
불교중앙박물관,서울특별시,문화시설,박물관,사립,,21365.0
브이센터 더 라이브 뮤지엄,서울특별시,문화시설,박물관,사립,,34088.0
삼성출판박물관,서울특별시,문화시설,박물관,사립,,765.0
샬트르 성 바오로 수녀회 역사박물관,서울특별시,문화시설,박물관,사립,,1453.0
서울대학교병원 의학박물관,서울특별시,문화시설,박물관,사립,,16780.0
세계골프역사박물관,서울특별시,문화시설,박물관,사립,,2005.0
다문화박물관,서울특별시,문화시설,박물관,사립,,22090.0
세계장신구박물관,서울특별시,문화시설,박물관,사립,,5000.0
쉼박물관,서울특별시,문화시설,박물관,사립,,614.0
신문박물관 PRESSEUM,서울특별시,문화시설,박물관,사립,,28000.0
영인문학관,서울특별시,문화시설,박물관,사립,,1600.0
우리옛돌박물관,서울특별시,문화시설,박물관,사립,,18229.0
우리은행 은행사박물관,서울특별시,문화시설,박물관,사립,,15507.0
우석뮤지엄,서울특별시,문화시설,박물관,사립,,3000.0
유금와당박물관,서울특별시,문화시설,박물관,사립,,3207.0
이한열기념관,서울특별시,문화시설,박물관,사립,,3807.0
이화박물관,서울특별시,문화시설,박물관,사립,,24000.0
인도박물관,서울특별시,문화시설,박물관,사립,,4500.0
전기박물관,서울특별시,문화시설,박물관,사립,,77844.0
전쟁과여성인권박물관,서울특별시,문화시설,박물관,사립,무료,22253.0
전쟁기념관,서울특별시,문화시설,박물관,사립,,2379672.0
종이나라박물관,서울특별시,문화시설,박물관,사립,무료,20000.0
짚풀생활사박물관,서울특별시,문화시설,박물관,사립,,3888.0
초전섬유·퀼트박물관,서울특별시,문화시설,박물관,사립,,1399.0
춘원당한방박물관,서울특별시,문화시설,박물관,사립,,6540.0
코리아나 화장박물관,서울특별시,문화시설,박물관,사립,,10133.0
탄허기념불교박물관,서울특별시,문화시설,박물관,사립,,8000.0
피규어뮤지엄W,서울특별시,문화시설,박물관,사립,,30000.0
한국가구박물관,서울특별시,문화시설,박물관,사립,,12161.0
한국광고박물관,서울특별시,문화시설,박물관,사립,,8708.0
한국금융사박물관,서울특별시,문화시설,박물관,사립,,25331.0
한국색동박물관,서울특별시,문화시설,박물관,사립,,1340.0
한국은행 화폐박물관,서울특별시,문화시설,박물관,사립,무료,232092.0
한국잡지박물관,서울특별시,문화시설,박물관,사립,,476.0
한국천주교순교자박물관,서울특별시,문화시설,박물관,사립,,100000.0
한국현대문학관,서울특별시,문화시설,박물관,사립,,7500.0
한무숙문학관,서울특별시,문화시설,박물관,사립,,2200.0
한익환서울아트박물관,서울특별시,문화시설,박물관,사립,,2402.0
혜곡최순우기념관,서울특별시,문화시설,박물관,사립,,15553.0
호림박물관(신림본관),서울특별시,문화시설,박물관,사립,,2633.0
호림박물관(신사분관),서울특별시,문화시설,박물관,사립,2000,4167.0
화정박물관,서울특별시,문화시설,박물관,사립,,3513.0
평강성서유물박물관,서울특별시,문화시설,박물관,사립,,1767.0
간송박물관,서울특별시,문화시설,박물관,사립,,40035.0
